iter	Passed	Remaining
0	141	141519
1	145	72727
2	148	49186
3	152	38003
4	154	30821
5	158	26196
6	162	23077
7	165	20514
8	166	18372
9	168	16645
10	170	15333
11	172	14181
12	175	13348
13	177	12518
14	179	11758
15	182	11207
16	183	10613
17	184	10081
18	189	9767
19	190	9349
20	192	8955
21	192	8579
22	194	8246
23	195	7936
24	196	7678
25	211	7924
26	212	7660
27	215	7474
28	216	7261
29	217	7043
30	218	6843
31	220	6656
32	222	6510
33	223	6347
34	224	6196
35	225	6041
36	226	5896
37	227	5755
38	228	5621
39	229	5500
40	230	5399
41	231	5288
42	233	5202
43	234	5102
44	235	5005
45	237	4919
46	238	4831
47	239	4743
48	239	4656
49	240	4574
50	241	4501
51	242	4428
52	244	4362
53	245	4294
54	246	4227
55	246	4160
56	247	4096
57	248	4032
58	250	3999
59	251	3941
60	252	3882
61	252	3826
62	253	3772
63	254	3720
64	255	3673
65	256	3623
66	258	3603
67	260	3564
68	261	3534
69	265	3523
70	266	3481
71	266	3440
72	267	3401
73	268	3360
74	269	3320
75	270	3282
76	270	3247
77	271	3211
78	272	3174
79	273	3142
80	274	3109
81	274	3076
82	275	3039
83	275	3007
84	276	2977
85	277	2949
86	278	2924
87	279	2897
88	280	2868
89	280	2840
90	281	2813
91	282	2786
92	283	2760
93	283	2734
94	284	2710
95	287	2703
96	288	2682
97	289	2665
98	291	2649
99	292	2628
100	292	2607
101	293	2585
102	294	2564
103	295	2542
104	295	2521
105	296	2501
106	297	2481
107	298	2464
108	299	2446
109	300	2430
110	301	2413
111	302	2394
112	302	2376
113	303	2359
114	304	2341
115	304	2323
116	305	2304
117	306	2289
118	307	2273
119	308	2259
120	308	2244
121	309	2227
122	310	2212
123	311	2197
124	311	2182
125	312	2167
126	313	2153
127	314	2139
128	315	2128
129	316	2120
130	318	2112
131	319	2101
132	321	2098
133	323	2089
134	324	2077
135	325	2065
136	325	2052
137	326	2040
138	328	2032
139	329	2022
140	330	2011
141	330	1998
142	331	1988
143	332	1977
144	333	1965
145	333	1953
146	334	1941
147	335	1929
148	336	1919
149	337	1910
150	338	1905
151	339	1895
152	340	1886
153	341	1876
154	342	1867
155	343	1859
156	345	1853
157	345	1843
158	346	1834
159	347	1825
160	349	1819
161	350	1811
162	351	1804
163	352	1797
164	353	1788
165	354	1779
166	354	1769
167	355	1760
168	356	1751
169	357	1744
170	358	1736
171	359	1728
172	360	1721
173	360	1713
174	361	1704
175	362	1696
176	363	1690
177	364	1682
178	365	1674
179	366	1667
180	367	1662
181	368	1655
182	369	1648
183	370	1642
184	371	1634
185	371	1627
186	372	1619
187	375	1621
188	377	1618
189	381	1626
190	382	1621
191	383	1614
192	384	1607
193	385	1600
194	385	1592
195	386	1585
196	387	1579
197	388	1573
198	389	1567
199	390	1560
200	391	1555
201	391	1548
202	392	1541
203	393	1534
204	393	1527
205	394	1520
206	395	1514
207	396	1509
208	397	1503
209	397	1497
210	398	1490
211	399	1484
212	400	1478
213	400	1472
214	401	1466
215	402	1459
216	406	1466
217	407	1461
218	408	1455
219	409	1450
220	409	1445
221	412	1445
222	413	1440
223	414	1435
224	415	1430
225	416	1424
226	416	1419
227	417	1413
228	418	1408
229	419	1404
230	420	1399
231	421	1394
232	421	1388
233	422	1383
234	423	1377
235	423	1372
236	424	1367
237	425	1362
238	426	1358
239	427	1353
240	428	1348
241	429	1343
242	429	1338
243	430	1333
244	431	1328
245	431	1323
246	434	1325
247	435	1321
248	436	1317
249	437	1313
250	438	1309
251	440	1306
252	441	1302
253	442	1298
254	442	1293
255	443	1289
256	444	1284
257	445	1279
258	445	1275
259	446	1271
260	447	1266
261	450	1267
262	450	1263
263	451	1258
264	452	1254
265	452	1249
266	453	1245
267	454	1240
268	454	1235
269	455	1232
270	456	1229
271	457	1224
272	458	1220
273	458	1215
274	459	1211
275	460	1207
276	461	1203
277	461	1199
278	462	1194
279	463	1190
280	464	1187
281	465	1185
282	466	1181
283	467	1178
284	468	1174
285	469	1171
286	469	1167
287	470	1164
288	472	1161
289	472	1157
290	473	1154
291	474	1150
292	476	1148
293	476	1145
294	477	1141
295	478	1138
296	479	1135
297	480	1131
298	481	1128
299	481	1124
300	482	1120
301	483	1116
302	483	1113
303	484	1109
304	485	1106
305	486	1103
306	487	1100
307	488	1096
308	488	1093
309	489	1090
310	490	1086
311	491	1084
312	494	1085
313	497	1087
314	503	1094
315	507	1097
316	510	1100
317	511	1097
318	512	1094
319	513	1091
320	514	1088
321	515	1085
322	516	1082
323	517	1079
324	518	1076
325	519	1074
326	520	1071
327	521	1068
328	522	1065
329	523	1062
330	524	1060
331	525	1057
332	526	1054
333	527	1051
334	529	1050
335	530	1048
336	532	1046
337	532	1043
338	533	1040
339	534	1037
340	535	1034
341	536	1031
342	537	1028
343	538	1025
344	539	1023
345	539	1020
346	540	1017
347	541	1014
348	542	1011
349	543	1008
350	544	1006
351	545	1003
352	546	1001
353	547	998
354	547	995
355	548	992
356	549	989
357	550	986
358	551	983
359	551	981
360	556	984
361	557	982
362	559	981
363	560	979
364	561	976
365	562	973
366	563	971
367	564	968
368	564	965
369	565	962
370	568	963
371	568	960
372	569	957
373	570	954
374	571	951
375	571	948
376	572	945
377	572	942
378	573	939
379	574	937
380	575	934
381	575	931
382	576	928
383	577	925
384	577	922
385	578	919
386	579	917
387	579	914
388	580	911
389	581	908
390	582	906
391	583	904
392	584	903
393	585	901
394	586	898
395	587	896
396	591	897
397	592	895
398	592	892
399	593	890
400	594	887
401	594	884
402	595	882
403	596	879
404	597	877
405	598	874
406	598	872
407	599	869
408	600	867
409	600	864
410	601	861
411	602	859
412	602	856
413	603	854
414	605	853
415	605	850
416	606	847
417	607	845
418	607	842
419	608	840
420	609	837
421	609	835
422	610	832
423	610	829
424	612	829
425	614	827
426	615	825
427	616	823
428	617	821
429	618	819
430	619	818
431	620	815
432	622	815
433	623	813
434	624	811
435	625	808
436	626	806
437	627	804
438	627	802
439	628	800
440	629	798
441	630	795
442	631	793
443	631	791
444	632	788
445	633	786
446	634	784
447	635	782
448	635	780
449	636	777
450	637	775
451	637	773
452	638	771
453	639	768
454	639	766
455	640	764
456	641	762
457	642	760
458	643	758
459	644	757
460	645	754
461	646	752
462	647	750
463	648	748
464	649	746
465	650	745
466	650	742
467	651	740
468	652	739
469	653	737
470	654	734
471	654	732
472	655	730
473	656	728
474	657	726
475	657	724
476	658	722
477	659	720
478	660	717
479	660	715
480	661	713
481	661	711
482	662	709
483	663	707
484	664	705
485	665	703
486	665	701
487	666	699
488	667	697
489	668	695
490	669	693
491	670	692
492	671	690
493	672	688
494	673	687
495	674	685
496	675	683
497	676	681
498	677	680
499	680	680
500	681	679
501	682	677
502	683	675
503	684	673
504	685	672
505	687	671
506	688	669
507	688	667
508	689	665
509	690	662
510	690	660
511	691	658
512	691	656
513	692	654
514	693	653
515	695	652
516	696	650
517	697	648
518	697	646
519	698	644
520	699	642
521	699	640
522	704	642
523	706	642
524	707	640
525	710	640
526	711	638
527	712	636
528	712	634
529	713	632
530	714	631
531	715	629
532	716	627
533	717	625
534	717	623
535	718	621
536	719	620
537	719	618
538	720	616
539	721	614
540	721	612
541	722	610
542	723	608
543	723	606
544	724	605
545	725	603
546	726	601
547	726	599
548	727	597
549	728	595
550	728	593
551	729	591
552	729	590
553	730	588
554	732	587
555	733	585
556	734	584
557	735	582
558	736	581
559	737	579
560	738	577
561	739	576
562	740	574
563	740	572
564	741	570
565	742	569
566	743	567
567	743	565
568	744	563
569	745	562
570	745	560
571	746	558
572	747	557
573	748	555
574	748	553
575	749	551
576	750	549
577	751	548
578	751	546
579	752	544
580	753	543
581	754	541
582	755	540
583	755	538
584	756	536
585	757	534
586	757	533
587	758	531
588	759	529
589	760	528
590	760	526
591	763	526
592	764	524
593	765	523
594	767	522
595	768	521
596	770	519
597	770	518
598	771	516
599	772	514
600	773	513
601	773	511
602	774	509
603	774	508
604	775	506
605	776	504
606	777	503
607	778	501
608	778	500
609	779	498
610	780	496
611	781	495
612	781	493
613	782	491
614	783	490
615	783	488
616	785	487
617	785	485
618	786	484
619	787	482
620	787	480
621	788	479
622	788	477
623	789	475
624	790	474
625	791	472
626	792	471
627	793	469
628	794	468
629	795	467
630	796	466
631	797	464
632	799	463
633	800	461
634	801	460
635	801	458
636	802	457
637	803	455
638	804	454
639	804	452
640	805	451
641	806	449
642	808	448
643	808	447
644	809	445
645	810	444
646	811	442
647	812	441
648	813	440
649	814	438
650	815	437
651	816	435
652	817	434
653	818	432
654	818	431
655	819	429
656	820	428
657	820	426
658	825	427
659	826	425
660	827	424
661	828	422
662	830	422
663	831	420
664	832	419
665	833	417
666	833	416
667	834	414
668	835	413
669	835	411
670	836	410
671	837	408
672	838	407
673	839	406
674	840	404
675	840	403
676	841	401
677	842	400
678	843	398
679	843	397
680	845	395
